"","","","","/項目 コード","A1101","A1301","A1302","A1303"
"地域 コード","地域","調査年 コード","調査年","/項目","A1101_総人口【人】","A1301_15歳未満人口【人】","A1302_15～64歳人口【人】","A1303_65歳以上人口【人】"
"01100","北海道 札幌市","2020100000","2020年度","","1,973,395","215,366","1,185,724","541,242"
"01100","北海道 札幌市","2015100000","2015年度","","1,952,356","221,013","1,235,516","483,534"
"01100","北海道 札幌市","2010100000","2010年度","","1,913,545","224,212","1,292,313","391,796"
"01100","北海道 札幌市","2005100000","2005年度","","1,880,863","234,086","1,318,478","325,401"
"01100","北海道 札幌市","2000100000","2000年度","","1,822,368","248,405","1,286,323","262,751"
"01100","北海道 札幌市","1995100000","1995年度","","1,757,025","273,276","1,275,976","202,897"
"01100","北海道 札幌市","1990100000","1990年度","","1,671,742","303,690","1,209,426","152,053"
"01100","北海道 札幌市","1985100000","1985年度","","1,542,979","329,087","1,098,074","115,081"
"01100","北海道 札幌市","1980100000","1980年度","","1,401,757","323,473","989,049","87,440"
"01202","北海道 函館市","2020100000","2020年度","","251,084","23,560","134,953","89,257"
"01202","北海道 函館市","2015100000","2015年度","","265,979","27,131","152,154","85,931"
"01202","北海道 函館市","2010100000","2010年度","","279,127","30,474","171,405","76,637"
"01202","北海道 函館市","2005100000","2005年度","","294,264","34,369","189,327","70,459"
"01202","北海道 函館市","2000100000","2000年度","","305,311","39,591","203,855","61,855"
"01202","北海道 函館市","1995100000","1995年度","","318,308","47,487","218,185","52,607"
"01202","北海道 函館市","1990100000","1990年度","","328,493","58,732","226,263","43,411"
"01202","北海道 函館市","1985100000","1985年度","","342,540","73,429","232,185","36,644"
"01202","北海道 函館市","1980100000","1980年度","","345,165","80,038","233,334","31,712"
"01203","北海道 小樽市","2020100000","2020年度","","111,299","9,169","55,643","45,426"
"01203","北海道 小樽市","2015100000","2015年度","","121,924","11,171","65,317","45,240"
"01203","北海道 小樽市","2010100000","2010年度","","131,928","13,105","77,215","41,607"
"01203","北海道 小樽市","2005100000","2005年度","","142,161","15,082","88,088","38,984"
"01203","北海道 小樽市","2000100000","2000年度","","150,687","17,398","98,035","35,253"
"01203","北海道 小樽市","1995100000","1995年度","","157,022","20,352","106,146","30,524"
"01203","北海道 小樽市","1990100000","1990年度","","163,211","25,242","112,165","25,804"
"01203","北海道 小樽市","1985100000","1985年度","","172,486","32,675","117,821","21,988"
